ticker,companyName,sector,cap,weight
BKW,Brickworks Limited,Materials,2686880000,0.14
BWP,BWP Trust Ordinary Units FP,Real Estate,2434630000,0.13
CTX,Caltex Australia,Energy,8165420000,0.44
CAR,Carsales.com Limited,,3973260000,0.21
CGF,Challenger Limited,Financials,5562730000,0.3
CHC,Charter Hall Group Stapled Securities US Prohibited,Real Estate,5812900000,0.31
CQR,Charter Hall Retail Units FP,Real Estate,2186920000,0.12
CNU,Chorus Limited Foreign Exempt NZX,Telecommunication Services,2835300000,0.15
CLW,CHTR H LWR FP Units Stapled Securities,Real Estate,2712900000,0.14
CIM,Cimic Group Limited,Industrials,7717650000,0.41
CWY,Cleanaway Waste Limited,Industrials,4656720000,0.25
CUV,Clinuvel Pharmaceut,Health Care,878022000,0.05
CCL,Coca-Cola Amatil,Consumer Staples,8318760000,0.44
COH,Cochlear Limited,Health Care,12004900000,0.64
COL,Coles Group,Consumer Staples,18955100000,1.01
CKF,Collins Foods Limited,Consumer Discretionary,1025910000,0.05
CBA,Commonwealth Bank,Financials,144770000000,7.74
CPU,Computershare Limited,Information Technology,8286280000,0.44
COE,Cooper Energy Limited,Energy,788924000,0.04
CTD,Corp Travel Limited,Consumer Discretionary,1519470000,0.08
